Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Antioch,RR&T MANAGEMENT LLC,220700797,5,960014.7,874897.2,85117.5,349160,264042.5,85117.5,29318.8,25007.19,4311.61
Olney,"Buzz B, Inc.",220700794,3,438213.51,391738.07,46475.44,165560,119084.51,46475.49,16057.08,13695.73,2361.35
Wadsworth,"DIM INVEST US, LLC",220700786,6,655047.42,577114.75,77932.67,247393,169460.33,77932.67,27048.04,23070.39,3977.65
Machesney Park,"NJP Holdings, LLC",220700785,6,4427089.94,4084832.69,342257.25,1392496,1050238.75,342257.25,117995.72,100643.43,17352.29
University Park,Big Willys Grill & Bar LLC,220700782,6,508002.53,452658.69,55343.84,211887,156543.16,55343.84,19190.34,16368.25,2822.09
Mount Morris,"J. B. SULLIVAN, LLC",220700777,5,1788324.52,1605369.78,182954.74,595481,412526.34,182954.66,63119.26,53837.02,9282.24
Pontoon Beach,Pontoon Liquor Mart Inc.,220700767,6,1415122.19,1293234.21,121887.98,446620,324731.94,121888.06,42107.51,35915.23,6192.28
New Berlin,Cuatro Amigos Inc.,220700766,6,151905.99,140185.89,11720.1,50050,38329.9,11720.1,3984.9,3398.88,586.02
Carlyle,Moonshiner Distribution Inc.,220700763,6,2673487.04,2402293.48,271193.56,975776,704582.44,271193.56,93489.29,79740.89,13748.4
Dixmoor,Brandon Food & Liquor Inc,220700759,5,1714335.59,1548602.27,165733.32,740181,574447.68,165733.32,57233.37,48816.69,8416.68
Benton,"Flo's Gaming, LLC",220700758,6,4257650.53,3859558.31,398092.22,1400199,1002106.78,398092.22,137117.49,116953.14,20164.35
Quincy,"S & S VENTURES OF QUINCY, LLC",220700748,4,4102757.73,3690680.89,412076.84,1360368,948291.16,412076.84,141782.41,120932.07,20850.34
Loves Park,A S Grace LLC,220700747,6,4631942.94,4244990.46,386952.48,1702604,1315651.52,386952.48,133237.26,113643.54,19593.72
River Grove,BIREN ENTERPRISES INC.,220700740,5,57392.2,53333.26,4058.94,24959,20900.05,4058.95,1399.98,1194.1,205.88
Harvard,JCS CORP.,220700725,6,1459433.77,1320785.09,138648.68,509884,371215.03,138668.97,47941.19,40891,7050.19
Colchester,Travelbymak LLC,220700724,6,843095.5,756207.24,86888.26,324051,237162.74,86888.26,29992.6,25581.93,4410.67
Round Lake Beach,BLACK LUNG BREWING COMPANY,220700723,4,597873.28,540939.81,56933.47,197012,140078.06,56933.94,19559.87,16683.41,2876.46
Watseka,"D.A.G. GROUP, INC.",220700706,6,4008510.76,3629905.9,378604.86,1428524,1049918.54,378605.46,130553.7,111354.61,19199.09
St. Charles,CMB STC LLC,220700705,6,3548037.14,3261542.79,286494.35,1192718,906213.6,286504.4,98883.67,84341.95,14541.72
Johnston City,LINEMEN'S LLC,220700704,6,2383910.97,2161865.49,222045.48,809512,587466.22,222045.78,76794.08,65500.82,11293.26
Niles,PARK RIDGE VETERANS CLUB,220700703,6,2119210.27,1940950.93,178259.34,810844,632584.76,178259.24,61549.48,52498.09,9051.39
Island Lake,ANNIE RESTAURANT GROUP ISLAND LAKE LLC,220700702,6,4708210.97,4280161.24,428049.73,1656247,1228197.27,428049.73,147650.26,125936.98,21713.28
Richmond,"FIVE DOYLES, INC.",220700689,5,795982.17,724900.59,71081.58,313862,242780.72,71081.28,24534.64,20926.61,3608.03
Clay City,Nelly's Wild Game LLC,220700685,6,1785131.07,1599396.25,185734.82,572939,387204.18,185734.82,63998.22,54586.7,9411.52
Harrisburg,SOUTHERN ILLINOIS LAUNDRY SERVICES LLC,220700684,4,928175.98,829604.66,98571.32,286404,187832.68,98571.32,33953.56,28960.43,4993.13
Shiloh,Bacchus Gaming LLC,220700682,6,7591888.54,6985507.14,606381.4,2637374,2030993.2,606380.8,209149.85,178392.52,30757.33
North Chicago,7 Days Food & Liquor Inc.,220700681,6,2762411.88,2470177.71,292234.17,1109295,817060.83,292234.17,100862.33,86029.63,14832.7
Jackson County,"J.B.'s Place, Inc.",220700680,6,1224892.5,1104812.68,120079.82,420898,300818.18,120079.82,41423.42,35331.72,6091.7
St. Clair County,H'S TAVERN LLC,220700670,6,2313449.45,2120371.29,193078.16,728378,535299.88,193078.12,66597.32,56803.58,9793.74
Ramsey,"Carter's Ramsey Lake Golf Course, LLC",220700665,6,1501837.2,1383484.66,118352.54,500758,382405.46,118352.54,40688.92,34705.26,5983.66
Carroll County,MORFEY ENTERPRISES INCORPORATED,220700659,6,557495.97,502321.69,55174.28,200338,145163.72,55174.28,19070.39,16265.93,2804.46
Paris,Maharaj 2 Corporation,220700654,6,8016736.05,7322355.82,694380.23,2642687,1948306.77,694380.23,239533.9,204308.33,35225.57
Andalusia,"Luebbe's, LLC",220700652,4,47032.31,41832.45,5199.86,17645,12445.14,5199.86,1767.98,1507.97,260.01
Peru,Deegeo Inc.,220700644,5,674456.65,629359.48,45097.17,267214,222116.83,45097.17,15437.95,13167.68,2270.27
Ottawa,MMTP Investments LLC,220700643,6,695080.94,631464.93,63616.01,248446,184833.1,63612.9,21942.62,18715.77,3226.85
River Grove,Anna's Cafe LLC - River Grove,220700641,6,4942640.87,4453879.35,488761.52,1766343,1277581.48,488761.52,168753.47,143936.78,24816.69
Long Grove,BLUE HERON ESTATE LLC,220700639,6,772358.07,706292.44,66065.63,271341,205275.29,66065.71,22937.09,19563.99,3373.1
Chicago Ridge,Randa's Gaming Cafe LLC,220700638,6,5061062.43,4564856.33,496206.1,1584984,1088777.9,496206.1,171022.16,145871.85,25150.31
Hamilton,MI CAMINO REAL OF HAMILTON INC.,220700637,6,835956.2,764079.19,71877.01,325624,253746.98,71877.02,24775.19,21131.79,3643.4
Wayne City,"Ahuja Liquors, Inc.",220700622,6,1494791.03,1372261.56,122529.47,453164,330634.53,122529.47,42179.69,35976.8,6202.89
Heyworth,Cardinal Restaurant Group - Heyworth LLC,220700620,6,2720366.21,2476998.84,243367.37,919786,676418.63,243367.37,83953.02,71606.99,12346.03
Gilberts,Seventy Two Express LLC,220700610,6,4584087.32,4145164.62,438922.7,1784402,1345479.3,438922.7,151670.57,129366.09,22304.48
Sandwich,EDGEBROOK MANAGEMENT SERVICES LLC,220700608,4,404946.68,368375.36,36571.32,136682,100110.02,36571.98,12648.3,10788.25,1860.05
Cook County,"Players, LLC",220700603,6,12542674.98,11478767.7,1063907.28,4587332,3523424.21,1063907.79,368043.84,313919.75,54124.09
Red Bud,"Tulayne's Tavern, LLC",220700596,6,1054912.43,969428.87,85483.56,411861,326377.02,85483.98,29532.73,25189.71,4343.02
Posen,"Dirty D's 2, LLC",220700594,6,3387245.79,3116818.41,270427.38,1412358,1141930.62,270427.38,93297.33,79577.14,13720.19
Jerome,Cardinal Restaurant Group - Jerome LLC,220700593,6,3654694.55,3339905.35,314789.2,1321229,1006439.8,314789.2,108840.96,92834.95,16006.01
Moline,"1848 Entertainment, LLC",220700591,2,585675.68,535856.45,49819.23,202643,152823.77,49819.23,17205.79,14675.54,2530.25
Cicero,LA CASA DEL TEQUILA CORP.,220700575,6,963999.28,879256.93,84742.35,310263,225520.65,84742.35,28812.48,24575.35,4237.13
Cicero,SLOTS BY KARLA INC.,220700567,6,585641.86,540426.1,45215.76,248480,203264.24,45215.76,15477.18,13201.12,2276.06
Bartonville,Gold Mine Gaming Inc.,220700566,6,7663153.91,6971558.71,691595.2,2486604,1795008.8,691595.2,238983.62,203838.97,35144.65
Anna,Money Mullins Place LLC,220700565,6,4998337.05,4560149,438188.05,1658038,1219789.84,438248.16,151350.65,129093.2,22257.45
Morgan County,ANNIES PLACE JACKSONVILLE LLC,220700563,6,10613757.02,9618741.91,995015.11,3632516,2637464.73,995051.24,348269.32,297053.25,51216.07
Jacksonville,ANNIES PLACE JACKSONVILLE LLC,220700563,6,-4374328.61,-3983775.49,-390553.12,-1437001,-1046412.72,-390588.25,-140212.08,-119592.66,-20619.42
Clinton,"T & C Endeavors South, LLC",220700547,6,2539093.56,2347030.85,192062.71,855242,663179.29,192062.71,66064.42,56349.09,9715.33
Peoria,RUDY'S MEXICAN CANTINA AND GRILL INC.,220700546,3,1566589.93,1416367.15,150222.78,650989,500766.39,150222.61,51591.82,44004.78,7587.04
Nashville,"BLACK DIAMOND MART, INC.",220700529,6,933116.22,836482.35,96633.87,315129,218495.63,96633.37,33364.99,28458.38,4906.61
Antioch,"MGNT ENTERPRISES, LLC",220700528,5,1049643.05,940821.61,108821.44,324063,215240.96,108822.04,37645.32,32109.29,5536.03
Oswego,DP's Mart LLC,220700527,6,3581306.51,3217659.38,363647.13,1468508,1104860.87,363647.13,125004.9,106621.82,18383.08
Bloomington,"Braize, LLC",220700525,5,6057873.93,5495388.4,562485.53,2244188,1681678.28,562509.72,194322.96,165746.05,28576.91
Fairview Heights,PARTH 10 LLC,220700516,6,1639142.88,1488767.51,150375.37,582514,432138.14,150375.86,51879.05,44249.79,7629.26
Cowden,Lumberyard Bar & Grill Inc.,220700478,6,1983675.43,1822474.89,161200.54,688787,527582.86,161204.14,55588.92,47414.09,8174.83
Benton,"Flo's Gaming, LLC",220700476,6,6182685.7,5610315.72,572369.98,2004189,1431819.02,572369.98,197271.07,168260.6,29010.47
Cook County,VDR LLC,220700468,6,1951251.76,1778258.95,172992.81,791428,618435.19,172992.81,60228.65,51371.49,8857.16
Loraine,THE OUTSKIRTS LLC,220700457,6,779605.99,709686.79,69919.2,283021,213101.8,69919.2,24129.94,20581.44,3548.5
Midlothian,"JNT RESTAURANT, INC.",220700444,6,2480577.81,2303007.07,177570.74,841858,664287.26,177570.74,61224.27,52220.71,9003.56
Summit,LILLYS GAMING CAFE LLC,220700441,6,7925379.41,7287709.61,637669.8,2855131,2217307.41,637823.59,220063.98,187701.65,32362.33
Woodstock,LUCKY CAFE WOODSTOCK INCORPORATED,220700440,6,8932280.9,8080354.82,851926.08,3366413,2514486.92,851926.08,293900.9,250680.19,43220.71
Oglesby,Laura Wilsman,220700439,6,2746300.23,2500397.78,245902.45,951294,705391.2,245902.8,84945.14,72453.22,12491.92
Melrose Park,"Sofia's Gaming Cafe, LLC",220700438,6,7603144.59,6888266.61,714877.98,2956632,2241752.62,714879.38,246831,210532.31,36298.69
Oswego,Vicki Enterprises LLC,220700413,6,6007068.79,5313467.26,693601.53,2224780,1531178.47,693601.53,239074.66,203916.64,35158.02
Olney,"Gatsby's Gaming, LLC",220700411,6,5415295.16,4959764.17,455530.99,1770124,1314593.01,455530.99,156955.43,133873.75,23081.68
Round Lake Park,"HOMERUN LIQUOR & PANTRY, INC.",220700410,6,3222217.31,2941974.15,280243.16,1201366,921122.84,280243.16,96591.26,82386.69,14204.57
Joliet,Thorntons LLC,220700404,6,4078569.79,3692694.22,385875.57,1532838,1146962.43,385875.57,134356.81,114598.46,19758.35
East Peoria,"Mickie's Pizzeria, Inc.",220700401,6,2516610.67,2319255.75,197354.92,794349,596994.18,197354.82,68090.2,58076.94,10013.26
Carpentersville,"OM SAI RAM CARPENTERSVILLE OIL, INC.",220700400,6,6088646.27,5494577.63,594068.64,2304460,1710391.34,594068.66,205159.03,174988.6,30170.43
Ruma,Marys 2 LLC,220700389,4,650545.64,592493.87,58051.77,236770,178717.75,58052.25,19987.03,17047.73,2939.3
Belvidere,ANNIE'S BELVIDERE LLC,220700385,6,2315229.23,2088296.29,226932.94,876428,649495.06,226932.94,78826.94,67234.74,11592.2
Carol Stream,"CAROL STREAM CHERRY, LLC",220700376,6,9961545.42,9043244.06,918301.36,3450481,2532179.64,918301.36,316850.42,270254.78,46595.64
Roscoe,Empire Slots Roscoe LLC,220700375,6,5843371.13,5235741.71,607629.42,2064190,1456560.58,607629.42,209376.7,178586,30790.7
Carpentersville,FORTUNE PLUS CARPENTERSVILLE LLC,220700373,6,7796444.6,7087526.58,708918.02,2747600,2038674.98,708925.02,244819.24,208816.44,36002.8
North Chicago,Mcarreto Corporation,220700357,4,718589,647945.76,70643.24,228663,157999.76,70663.24,24380.21,20794.89,3585.32
Glendale Heights,NGS FOOD GROUP INC.,220700350,5,3212185.19,2905344.88,306840.31,1249557,942716.69,306840.31,105983.83,90397.99,15585.84
East Dundee,Spartan Axe Throwing 2 Inc.,220700334,6,117976.95,105192.63,12784.32,55894,43109.68,12784.32,4374.32,3731.06,643.26
Cicero,"El Porvenir Super, Inc.",220700331,6,2818375.41,2542174,276201.41,1198157,921954.59,276202.41,95409.25,81378.49,14030.76
Flossmoor,R & J GAMING AND WINE INC.,220700324,6,5395558.89,4886188.76,509370.13,2015189,1505818.83,509370.17,175464.99,149661.31,25803.68
West Chicago,"AUGUSTINO'S OF WEST CHICAGO, INC.",220700323,6,1019490.04,925510.87,93979.17,362085,268106.18,93978.82,32516.04,27734.28,4781.76
Madison County,Collinsville Express LLC,220700321,6,4174961.26,3746938.67,428022.59,1303560,875537.05,428022.95,147705.23,125983.88,21721.35
Aurora,"La Hacienda Del Agave, Corp.",220700320,5,3806615.2,3483986.24,322628.96,1412074,1089445.04,322628.96,111466.96,95074.74,16392.22
St. Charles,Chums Shrimp Shack LLC,220700319,3,541668.69,489499.62,52169.07,153771,101601.93,52169.07,17956.75,15316.06,2640.69
Stark County,"Catalpa Grove Tavern, LLC",220700315,6,2108441.48,1915272.79,193168.69,683309,490140.84,193168.16,66574.48,56784.12,9790.36
Melrose Park,"Broadway Slots, Inc.",220700303,6,2930346.74,2666941.31,263405.43,949424,686018.57,263405.43,90838.18,77479.61,13358.57
Dallas City,THIRD STREET MART INC.,220700301,6,1963478.4,1790367.99,173110.41,561308,388196.94,173111.06,59295.31,50575.42,8719.89
Effingham County,JGKW LLC,220700299,4,471467.49,437638.51,33828.98,176889,143060.02,33828.98,11704.91,9983.63,1721.28
Addison,"JB Addison, LLC",220700285,5,700088.35,649245.89,50842.46,265377,214523.54,50853.46,17545.7,14965.46,2580.24
Tinley Park,"HAILSTORM BREWING COMPANY, LLC",220700284,5,1066089.07,982973.49,83115.58,424507,341391.12,83115.88,28690.37,24471.2,4219.17
Orland Park,X-Golf Orland Park LLC,220700283,5,437332.5,390793.17,46539.33,177384,130844.67,46539.33,15963.26,13615.72,2347.54
Dwight,Dwight Pizza & More LLC,220700277,4,945097.41,846382.85,98714.56,310912,212197.44,98714.56,34246.74,29210.45,5036.29
Lyons,DARLA OF LYONS INC.,220700266,6,7442522.47,6763553.76,678968.71,2876681,2197712.29,678968.71,234343.6,199881.33,34462.27
Jerseyville,KOMAL INC.,220700263,6,4613373.79,4200121.77,413252.02,1355646,942394.13,413251.87,142796.37,121796.91,20999.46
Harristown,"DJ Sterling Enterprises, LLC - Emily's Harristown Series",220700259,6,4674861.67,4315542.68,359318.99,1600359,1241040.01,359318.99,124011.99,105774.94,18237.05
McHenry,"McHenry Downtown Indoor Theater, LLC",220700257,6,534367.13,478087.19,56279.94,214783,158503.06,56279.94,19608.57,16724.95,2883.62
Galena,THE GALENA GOLD ROOM LLC,220700255,4,2024961.09,1857096.21,167864.88,737431,569566.12,167864.88,58069.82,49530.15,8539.67
Lake Villa,"HARBOR BREWING COMPANY, LLC",220700240,6,2278163.76,2062550.72,215613.04,870590,654976.66,215613.34,74425.29,63480.39,10944.9
Seneca,Perry Dice Entertainment LLC,220700239,6,3865619.17,3555683.4,309935.77,1380100,1070164.23,309935.77,106914.17,91191.49,15722.68
Elburn,ROSATI'S AMK INC.,220700238,5,1690686.14,1513994,176692.14,691334,514641.86,176692.14,61199.19,52199.32,8999.87
Minooka,"Los Campesinos Mexican Grill, Inc.",220700210,4,1203400.41,1084633.2,118767.21,453309,334510.53,118798.47,40613.12,34640.59,5972.53
Grundy County,"Los Campesinos Mexican Grill, Inc.",220700210,0,-770791.4,-690735.89,-80055.51,-281916,-201829.23,-80086.77,-27229.62,-23225.25,-4004.37
Johnsburg,KK Enterprise Inc.,220700209,6,3924740.06,3596710.91,328029.15,1438096,1110051.64,328044.36,113412.57,96734.24,16678.33
Lindenhurst,Ocean Seafood Inc.,220700208,4,441447.08,402298.97,39148.11,202920,163772.04,39147.96,13555.95,11562.43,1993.52
Morrison,"Expresslane, Inc.",220700206,6,1088220.11,972446.1,115774.01,389428,273653.99,115774.01,39953.81,34078.25,5875.56
Centralia,FOOD MART CAFE INC.,220700191,6,5397260.92,4883896.72,513364.2,1689392,1176027.8,513364.2,177457.08,151360.44,26096.64
Rantoul,"The Fringe Entertainment, LLC",220700190,6,604118.42,556635.57,47482.85,238562,191079.15,47482.85,16358.23,13952.59,2405.64
Alton,"The Conservatory, LLC",220700186,3,250988.95,223162.17,27826.78,95166,67339.62,27826.38,9615.93,8201.83,1414.1
Beecher,"TONY'S PIZZA OF BEECHER, INC.",220700185,5,1014441.06,916314.23,98126.83,361797,263670.07,98126.93,33773.62,28806.94,4966.68
South Beloit,"Salvatore's Gaming, LLC",220700175,6,2355050.04,2120831.87,234218.17,906128,671882.91,234245.09,80798.02,68915.98,11882.04
Moline,"Suzi's XXIII, LLC",220700173,6,2042686.12,1865086.56,177599.56,776693,599093.59,177599.41,61162.09,52167.67,8994.42
Westville,OM SAGAR INC.,220700172,6,975055.53,884064.21,90991.32,308747,217755.2,90991.8,31498.61,26866.43,4632.18
Decatur,Skycity Inc.,220700150,6,1295509.26,1190028.8,105480.46,572898,467416.9,105481.1,36424.66,31068.09,5356.57
Fox River Grove,PSNDH GROVE INC.,220700142,6,6040932.01,5468138.98,572793.03,2053981,1481182.97,572798.03,197192.97,168194.02,28998.95
West Peoria,Linda 1 Inc.,220700124,6,6556139.57,5954828.54,601311.03,2536528,1935217.4,601310.6,207886.08,177314.62,30571.46
Summit,ANNIE'S SUMMIT LLC,220700121,6,4035350.06,3638597.29,396752.77,1590805,1194052.23,396752.77,137202.86,117025.98,20176.88
Cicero,Anna's Cafe LLC - Cicero 2,220700108,6,4950367.54,4570503.45,379864.09,2190687,1810823.03,379863.97,131167.18,111877.88,19289.3
Rock Falls,"SMA RETAILS, INC.",220700104,6,4738820.68,4332877,405943.68,1521951,1116007.32,405943.68,139913.18,119337.73,20575.45
Beardstown,"Becky's Mainstreet, LLC",220700102,6,3991994.6,3683346.88,308647.72,1355710,1047062.28,308647.72,106460.98,90804.95,15656.03
Wayne County,Ralph Vest,220700100,6,972387.66,876209.81,96177.85,370218,274066.15,96151.85,33110.17,28241.04,4869.13
Godfrey,"CARVER'S BBQ, INC.",220700099,6,1039032.56,925228.41,113804.15,255352,141548.28,113803.72,39243.85,33472.69,5771.16
Champaign,"Savage Axe, LLC",220700098,5,574429.38,535077.73,39351.65,221061,181709.38,39351.62,13577.65,11580.94,1996.71
Champaign,"Round Robin Enterprises, Inc.",220700087,6,856798.05,794543.87,62254.18,359092,296837.83,62254.17,21509.68,18346.51,3163.17
West Chicago,Frank and Lou's Entertainment Inc.,220700085,5,4151782.64,3798585.39,353197.25,1433386,1080158.35,353227.65,121914.56,103985.93,17928.63
Streator,"BEAVERS TAP, INC.",220700077,6,3276699.74,2988027.53,288672.21,1177258,888585.79,288672.21,99534.8,84897.34,14637.46
Channahon,"GAMEKEEPERS, LLC",220700076,6,1278194.15,1177123.35,101070.8,382549,281478.48,101070.52,34771.41,29657.95,5113.46
Alhambra,"Slots & Slices, Inc.",220700072,6,605917.71,559706.18,46211.53,199121,152909.57,46211.43,15819.94,13493.49,2326.45
Payson,"MATTY B'S, LLC",220700071,6,1446461.6,1301844.77,144616.83,459881,315264.17,144616.83,49640.3,42340.26,7300.04
Chicago Ridge,B & M Gaming LLC,220700060,6,2549018.6,2326057.49,222961.11,860706,637825.24,222880.76,76834.55,65535.37,11299.18
Chicago Ridge,HMD Bar & Grill LLC,220700059,6,4621329.82,4236688.72,384641.1,1603001,1218339.9,384661.1,132415.3,112942.46,19472.84
Kewanee,Jay's Place LLC,220700058,6,2997685.53,2733340.36,264345.17,980779,716433.82,264345.18,91371.83,77934.78,13437.05
Mundelein,"Oak Trail Taphouse, Inc.",220700045,6,7599914.93,6855575.94,744338.99,2731807,1987468.09,744338.91,256911.89,219130.74,37781.15
Brussels,"Rustic Roads, LLC",220700043,4,1075783.65,989999.24,85784.41,333364,247579.54,85784.46,29578.93,25229.08,4349.85
Mokena,"19TH HOLE, LLC",220700042,6,933109.64,850553.06,82556.58,324263,241706.42,82556.58,28463.2,24277.44,4185.76
McLean County,Indian Springs Recreation Association,220700032,3,200558.96,175461.38,25097.58,81644,56546.42,25097.58,8642.04,7371.17,1270.87
DeKalb,"LORD STANLEY'S OF DEKALB, LLC",220700016,6,3765922.21,3358381.08,407541.13,1501633,1094066.96,407566.04,140892.77,120173.25,20719.52
Bridgeview,SHREE HARLEM INC.,220700002,6,2927958.92,2615221.34,312737.58,1094802,782064.42,312737.58,107722.44,91880.91,15841.53
N/A,Department of Agriculture - Du Quoin Grandstand 1,213202082,10,168635.15,148244.28,20390.87,55080,34689.13,20390.87,5787.31,5787.31,0
N/A,Department of Agriculture - Springfield Grandstand 3,213201923,10,181541.06,162608.33,18932.73,72982,54049.07,18932.93,6626.59,6626.59,0
N/A,Department of Agriculture - Springfield Grandstand 2,213201900,10,212796.88,189273.75,23523.13,85608,62084.87,23523.13,8233.08,8233.08,0
N/A,Department of Agriculture - Springfield Grandstand 1,213201899,10,189591.96,172675.56,16916.4,75821,58904.6,16916.4,5920.7,5920.7,0
Alsip,"LENNY'S GAS N WASH 127TH AND KOSTNER, LLC",211003784,10,24177464.48,21936829.41,2240635.07,9354463,7113997.57,2240465.43,772659.78,659033.35,113626.43
Joliet,"LENNY'S GAS N WASH ROUTE 6 AND GOUGAR, LLC",211003640,6,12746236.51,11533290.11,1212946.4,4514686,3301739.85,1212946.15,418201.35,356701.15,61500.2
New Lenox,"LENNY'S GAS N WASH ROUTE 30, LLC",211003604,6,15629493.14,14177168.89,1452324.25,5122861,3670536.75,1452324.25,500535.71,426927.53,73608.18
Forreston,Casey's Retail Company,211003335,6,2278388.11,2090638.35,187749.76,823439,635689.07,187749.93,64672.85,55162.15,9510.7
Pontoon Beach,Speedway LLC,211002776,6,7331567.47,6629783.93,701783.54,2300884,1599088.5,701795.5,242943.46,207216.49,35726.97
Elk Grove Village,"Love's Travel Stops & Country Stores, Inc",211002459,8,10052605.76,9164723.81,887881.95,3483519,2595697.5,887821.5,306394.98,261336.9,45058.08
Mattoon,"Lanman Oil Co., Inc.",211002321,10,22332515.62,20625489.7,1707025.92,6796449,5089235.07,1707213.93,588611.37,502050.9,86560.47
Arcola,"Jack Flash Properties, LLC",211002225,6,14055268.07,13044801.17,1010466.9,5023456,4012297.94,1011158.06,348803.42,297508.79,51294.63
Geneseo,Beck Oil Company of Illinois,211001948,10,19272196.61,17817482.44,1454714.17,5620332,4165618.34,1454713.66,502201.78,428348.58,73853.2
Montgomery,"Midwest Convenience, Inc.",211001887,10,7511464.07,6830076.6,681387.47,2704222,2022834.63,681387.37,234905.67,200360.74,34544.93
East Dundee,Speedway LLC,211001834,7,4055109.81,3678760.28,376349.53,1404037,1027671.88,376365.12,130306.45,111143.77,19162.68
Stickney,"TRUCKQUEST, INC.",211001701,10,26160818.36,23709854.16,2450964.2,9965099,7513420.75,2451678.25,846798.81,722269.58,124529.23
Williamson County,"Road Ranger, L.L.C.",211001411,10,2413866.52,2130178.7,283687.82,812482,528793.84,283688.16,99291.13,84689.5,14601.63
Rockford,Star Petroleum Inc.,211001381,5,3695311.74,3330770.23,364541.51,1331374,966832.28,364541.72,126041.53,107506.02,18535.51
Channahon,"Love's Travel Stops & Country Stores, Inc.",211001148,8,5086479.23,4641919.6,444559.63,1798037,1353463.42,444573.58,153193.71,130665.24,22528.47
Washington,Beck Oil Company of Illinois,211001078,6,16327395.61,15005889.98,1321505.63,5213294,3891554.35,1321739.65,455836.47,388801.71,67034.76
Springfield,"Niemann Foods, Inc.",211001035,6,19662120.24,18044458.3,1617661.94,6511413,4893689.25,1617723.75,558650.4,476495.92,82154.48
McLean County,"Evergreen FS, Inc.",211000882,10,27571599.69,25145562.08,2426037.61,9676792,7250382.14,2426409.86,837227.65,714105.96,123121.69
Hickory Hills,RR HICKORY HILLS LLC,211000515,10,37338209.91,34016412.19,3321797.72,12245899,8923332.88,3322566.12,1146794.95,978148.66,168646.29
Carmi,"Martin & Bayley, Inc.",211000484,6,9810555.38,8878727.27,931828.11,2622805,1690902.91,931902.09,321458.84,274185.48,47273.36
Farina,"Wortman Development, LLC",211000425,10,11650201.45,10777548.57,872652.88,3555870,2683280.74,872589.26,301224.68,256926.91,44297.77
Volo,Speedway LLC,211000277,6,7989572.36,7247000.2,742572.16,2480200,1737517.34,742682.66,256038.83,218386.06,37652.77
Joliet,"LENNY'S GAS N WASH THEODORE AND DRAUDEN, LLC",211000150,6,17314154.15,15691048.12,1623106.03,5756320,4133766.39,1622553.61,558747.64,476578.84,82168.8
Warrenville,"Warrenville Memorial Post 8081, Veterans of Foreign Wars of the United States",210903166,4,1187107.44,1076211.03,110896.41,433687,322790.59,110896.41,38349.2,32709.6,5639.6
Beckemeyer,HOLTHAUS-KAMPWERTH AMERICAN LEGION POST NO. 1227,210901369,4,956492.07,870436.62,86055.45,325780,239724.55,86055.45,29821.32,25435.82,4385.5
Athens,Menard County American Legion Post #129,210900113,3,302827.37,275969.65,26857.72,110366,83508.12,26857.88,9296.84,7929.65,1367.19
Pana,Pana Lodge #1015 Loyal Order of Moose,210803810,6,614721.99,553493.47,61228.52,193892,132663.48,61228.52,21045.12,17950.24,3094.88
Geneseo,"Geneseo Lodge No. 990, Loyal Order of Moose Geneseo, Illinois",210803025,2,70363.84,63097.33,7266.51,19094,11827.49,7266.51,2502.7,2134.63,368.07
Pecatonica,"Eugene J. Barloga Post #197, American Legion Club",210802430,4,506949.17,460574.69,46374.48,210876,164499.79,46376.21,16075.65,13711.58,2364.07
Beardstown,"Royal Farms 2, Inc.",210703909,5,3923516.01,3516682.16,406833.85,1404633,997799.15,406833.85,140254.17,119628.55,20625.62
Lamoille,Alex Charan Petroleum Co.,210703901,5,1460596.87,1317231.08,143365.79,568814,425448.21,143365.79,49361.51,42102.48,7259.03
Vienna,"Miles Brothers Foods, LLC",210703896,6,518861.5,471274.54,47586.96,156644,109056.98,47587.02,16424.57,14009.21,2415.36
Quincy,QUINCY AXE COMPANY LLC,210703895,4,411014.69,374083.73,36930.96,189519,152566.76,36952.24,12867.72,10975.37,1892.35
Orland Park,MAYAN PALACE GRILL AND CANTINA LLC,210703894,5,1134597.91,1019857.6,114740.31,378616,263876,114740,39649.01,33818.25,5830.76
Colp,"Big Daddy Liquor, Inc.",210703893,6,4086862.17,3728715.65,358146.52,1257821,899674.48,358146.52,123419.08,105269.23,18149.85
La Salle,E & B Tobacco And Liquor Inc.,210703892,5,1115635.5,1015370.23,100265.27,396623,296357.38,100265.62,34531.72,29453.53,5078.19
Oak Lawn,GG'SPOT BAR AND GRILL LTD.,210703883,6,1197333,1113107.08,84225.92,529202,444976.14,84225.86,29214.86,24918.56,4296.3
Wauconda,Jay Enterprise Inc.,210703882,6,6928985.26,6301218.28,627766.98,2148105,1520338.02,627766.98,217360.17,185395.48,31964.69
Cicero,Sumo Oil Company,210703879,6,9397351.87,8457891.2,939460.67,3943035,3003574.33,939460.67,324079.99,276421.15,47658.84
Wood River,"Ferguson Street Burger Bar, Inc.",210703876,6,663499.9,605777.02,57722.88,245272,187549.12,57722.88,19833.75,16917,2916.75
Lawrence County,FAIRWIND GAMING LLC,210703850,6,2765944.4,2510684.27,255260.13,1000017,744757.08,255259.92,87884.22,74960.09,12924.13
Lawrenceville,FAIRWIND GAMING LLC,210703850,6,221875.93,208155.01,13720.92,78488,64767.08,13720.92,4802.39,4096.16,706.23
Harristown,Cardinal Restaurant Group - Harristown LLC,210703843,6,5520787.42,4987890.13,532897.29,1952062,1419139.71,532922.29,183945.18,156894.43,27050.75
